#,Gold,Prediction,Correct,PromptLength
1,signs,cars,0,1027
2,shane,shane,1,859
3,insurance,insurance,1,1131
4,helen,missmabel,0,1059
5,chains,chains,1,1054
6,hastin,basha,0,1057
7,queen,queen,1,880
8,aidan,me,0,905
9,gabriel,heather,0,843
10,coffee,shade,0,1028
11,fights,fights,1,1119
12,story,story,1,961
13,border,federation,0,963
14,introductions,fear,0,942
15,babies,parenting,0,967
16,together,jaeden,0,988
17,robot,robot,1,1135
18,chester,chester,1,937
19,book,book,1,997
20,izzy,theroom,0,1008
21,track,track,1,979
22,sarah,tess,0,1056
23,emergencies,problems,0,915
24,liz,liz,1,868
25,bob,bob,1,1033
26,hercules,hercules,1,1099
27,jen,jen,1,888
28,piano,rules,0,879
29,stove,beans,0,1074
30,duke,duke,1,948
31,sara,joshua,0,876
32,kim,kim,1,909
33,showers,showers,1,975
34,jeremy,jeremy,1,1014
35,speakers,doors,0,972
36,portal,portal,1,963
37,syracuse,syracuse,1,868
38,stopped,stopped,1,1083
39,lilly,lilly,1,936
40,list,plan,0,876
41,joran,joran,1,1000
42,ares,ares,1,1002
43,eat,eat,1,866
44,zach,lexi,0,998
45,squirm,squirm,1,931
46,company,eachother,0,973
47,hunter,hunter,1,944
48,invited,invited,1,846
49,mum,mum,1,1017
50,platform,platform,1,1039
51,ball,room,0,1007
52,test,isyourname,0,1058
53,nothing,nothing,1,1001
54,hatch,hatch,1,1015
55,refugee,spy,0,1021
56,gregory,zach,0,1084
57,too,too,1,945
58,chloe,chloe,1,895
59,daniel,them,0,1093
60,leo,leo,1,976
61,beth,beth,1,900
62,cassie,cassie,1,839
63,cheyenne,cheyenne,1,1009
64,wagon,wagon,1,1008
65,bananas,bananas,1,947
66,cooper,cooper,1,865
67,scratches,scratches,1,905
68,sing,sing,1,906
69,camera,photo,0,949
70,invasion,invasion,1,1066
71,nadia,nadia,1,978
72,tube,tube,1,1029
73,leanne,leanne,1,1012
74,lonely,married,0,982
75,camille,camille,1,1012
76,sled,sled,1,981
77,daniel,daniel,1,908
78,towel,towel,1,1045
79,bee,bee,1,977
80,brian,brian,1,950
81,chase,chase,1,867
82,shane,shane,1,1027
83,hazard,hazard,1,962
84,appropriate,her,0,1023
85,prophetic,visible,0,1062
86,drugs,drugs,1,923
87,close,coming,0,1058
88,peggy,peggy,1,989
89,cole,cole,1,981
90,poor,problem,0,1199
91,rackenfauz,rackenf,0,870
92,now,exp,0,1037
93,cooking,process,0,1011
94,kelly,mark,0,1035
95,menu,menu,1,1058
96,carlos,carlos,1,984
97,alice,alice,1,887
98,ethan,jamie,0,944
99,jeep,jeep,1,992
100,carlos,carlos,1,899
101,admiral,admiral,1,1103
102,shawn,shawn,1,967
103,drown,drown,1,901
104,guards,guards,1,931
105,gabriel,flannery,0,918
106,again,again,1,901
107,vivienne,vivienne,1,1036
108,statement,love,0,1301
109,garden,maze,0,1021
110,wonderful,tonight,0,1340
111,genevieve,genevieve,1,941
112,guy,guy,1,850
113,karou,karou,1,1097
114,bleachers,bleachers,1,983
115,cats,cats,1,885
116,moscow,moscow,1,1031
117,amber,amber,1,959
118,greg,greg,1,1092
119,gabriel,gabriel,1,865
120,wardrobe,mountain,0,1089
121,sarah,sarah,1,955
122,bing,bing,1,889
123,evra,evra,1,913
124,convoy,convoy,1,927
125,tiny,vincent,0,1076
126,lanterns,lanterns,1,1122
127,sycko,sycko,1,905
128,plays,works,0,951
129,bracelet,amulet,0,949
130,weak,weak,1,1043
131,money,e,0,934
132,jt,jt,1,1012
133,helen,helen,1,928
134,attracted,attracted,1,1115
135,sabrina,sabrina,1,967
136,tomb,tomb,1,997
137,poisons,poisons,1,901
138,thanks,thanks,1,869
139,wyatt,wyatt,1,959
140,zhang,zhang,1,948
141,instrument,instrument,1,1235
142,hannah,ava,0,1076
143,dogs,dogs,1,1107
144,claire,claire,1,914
145,forget,regret,0,988
146,vain,flawed,0,894
147,candle,candle,1,987
148,francis,francis,1,913
149,jared,jared,1,1034
150,betsy,betsy,1,1004
151,gregory,gregory,1,1039
152,marquis,marquis,1,992
153,curse,curse,1,992
154,matter,matter,1,1001
155,ares,gregor,0,819
156,charles,charles,1,1178
157,garden,garden,1,992
158,sacha,sacha,1,992
159,phone,phone,1,819
160,bob,bob,1,1033
161,drake,her,0,1022
162,accent,accent,1,1021
163,ernie,ernie,1,837
164,visor,visor,1,964
165,anne,anne,1,964
166,diana,diana,1,1012
167,axel,her,0,1001
168,wolfe,kir,0,885
169,queue,line,0,1014
170,vampires,vampires,1,1024
171,protecting,protecting,1,920
172,first,next,0,895
173,eloisa,jacqueline,0,948
174,mortgage,mortgage,1,918
175,jay,jay,1,923
176,galaxy,galaxy,1,1137
177,jones,jones,1,944
178,werewolves,werewolves,1,935
179,twins,twins,1,1110
180,texting,texting,1,905
181,buliwyf,buliwy,0,1152
182,hamnet,luxa,0,920
183,human,chosen,0,983
184,jesse,jesse,1,855
185,savior,savior,1,984
186,too,deceived,0,1010
187,cadence,cadence,1,920
188,casimir,casimir,1,1017
189,missing,for,0,932
190,josh,josh,1,878
191,spotlight,public,0,949
192,yadira,yadira,1,923
193,roderick,roderick,1,913
194,alley,alley,1,991
195,nephews,nephews,1,897
196,jenny,jenny,1,934
197,serious,serious,1,1185
198,jules,jules,1,961
199,monson,monson,1,1083
200,lucien,lucien,1,920
201,constables,constables,1,1072
202,workers,workers,1,1026
203,leonardo,leonardo,1,971
204,mask,mask,1,991
205,ewan,mairin,0,862
206,aloud,decima,0,926
207,roland,roland,1,1098
208,chip,chip,1,951
209,order,respond,0,1037
210,raych,raych,1,913
211,smoke,trees,0,938
212,dizzy,him,0,1060
213,stefan,stefan,1,953
214,menu,menu,1,996
215,squirrel,squirrel,1,978
216,roku,roku,1,1104
217,plants,plants,1,943
218,baby,baby,1,1037
219,vikus,vikus,1,989
220,alyssa,her,0,993
221,cole,cole,1,863
222,ship,ship,1,1002
223,survived,was,0,948
224,driver,driver,1,1004
225,ebens,ebens,1,928
226,heights,heights,1,968
227,billy,billy,1,1098
228,toothbrush,toothbrush,1,888
229,jade,jade,1,893
230,council,council,1,882
231,collet,collet,1,939
232,years,grapevine,0,1001
233,brennan,brennan,1,941
234,hudson,hudson,1,974
235,anyway,aislin,0,839
236,lucivar,lucivar,1,936
237,rhoda,her,0,886
238,rough,tough,0,991
239,damon,damon,1,1051
240,mind,iwilltake,0,902
241,charles,charles,1,1052
242,dutiful,happy,0,1032
243,journal,journal,1,974
244,shirley,shirley,1,1033
245,tristan,kizira,0,906
246,destiny,destiny,1,1000
247,issa,issa,1,1054
248,rose,rose,1,930
249,mace,sword,0,985
250,bunker,bunker,1,1049
251,dragon,runaway,0,907
252,hardy,garrett,0,964
253,dragon,dinosaur,0,872
254,bonnie,zander,0,898
255,jia,jia,1,1112
256,doll,doll,1,1002
257,cassie,cassie,1,1023
258,jackie,helen,0,1114
259,kiss,kiss,1,1021
260,hide,go,0,1059
261,dreaming,dreaming,1,985
262,bake,bake,1,878
263,searched,rummaged,0,977
264,marius,haven,0,1004
265,alone,floor,0,915
266,zoe,zoe,1,972
267,pile,pile,1,897
268,hailey,hailey,1,1063
269,nell,nell,1,951
270,townhouse,townhouse,1,1039
271,fabian,bones,0,950
272,protective,harsh,0,843
273,cap,cap,1,867
274,sender,sender,1,960
275,puppy,puppy,1,990
276,swim,swim,1,914
277,vaxili,zabrazal,0,1086
278,books,books,1,927
279,drown,drown,1,902
280,them,us,0,995
281,mitzy,iloveyou,0,903
282,city,city,1,979
283,arturo,arturo,1,932
284,street,street,1,1016
285,rings,rings,1,1009
286,clones,clones,1,962
287,atalai,atalai,1,854
288,ethan,ethan,1,879
289,winkler,winkler,1,888
290,justin,thepig,0,960
291,cahoots,asecret,0,988
292,messages,messages,1,994
293,locker,locker,1,960
294,zane,zane,1,1015
295,aden,aden,1,918
296,ronni,donna,0,909
297,press,ananchor,0,1050
298,teacher,teacher,1,1000
299,kiyu,kiyu,1,928
300,gladys,gladys,1,999
301,hot,hot,1,1066
302,georgina,georgina,1,915
303,miracle,hismother,0,1031
304,atalai,atalai,1,926
305,listing,sale,0,1096
306,vasquez,vasquez,1,932
307,lulu,lulu,1,1059
308,andre,andre,1,871
309,lighthouse,lighthouse,1,1103
310,foolish,foolish,1,1108
311,chris,chris,1,1016
312,alcander,alcander,1,1062
313,coin,carding,0,1039
314,coffee,your,0,895
315,lissa,lissa,1,967
316,julianna,drhend,0,944
317,ty,ty,1,960
318,earl,earl,1,897
319,marcie,marcie,1,842
320,graves,graves,1,979
321,villa,villa,1,819
322,okay,okay,1,940
323,wynn,wynn,1,1013
324,though,english,0,947
325,meredith,her,0,1014
326,dreaming,dreaming,1,923
327,dane,dane,1,1126
328,letter,letter,1,951
329,catherine,catherine,1,1130
330,frosting,frosting,1,1123
331,yacht,yacht,1,1024
332,maximum,point,0,961
333,jean,jean,1,902
334,portal,portal,1,1105
335,john,john,1,897
336,arkady,arkady,1,1008
337,lawson,lawson,1,981
338,hydra,there,0,931
339,miscarriage,miscarriage,1,974
340,helena,helena,1,881
341,alice,rupert,0,934
342,menu,menu,1,1007
343,robyn,robyn,1,1006
344,pirates,pirates,1,1022
345,chris,chris,1,909
346,diabetic,diabetic,1,927
347,dee,dee,1,1058
348,dragon,dragon,1,978
349,nicholas,nicholas,1,967
350,clara,clara,1,947
351,vo,vo,1,863
352,addison,addison,1,839
353,darkness,darkness,1,962
354,sam,sam,1,1056
355,web,web,1,988
356,macklin,macklin,1,998
357,stinger,head,0,915
358,pack,pack,1,995
359,moan,moan,1,977
360,dynamite,ball,0,1039
361,driving,driving,1,942
362,schedule,schedule,1,1050
363,legion,legion,1,909
364,father,father,1,982
365,maryann,maryann,1,920
366,ev,ev,1,1023
367,maximilian,maximilian,1,970
368,kate,kate,1,911
369,lesley,lesley,1,922
370,miracle,miracle,1,963
371,vasquez,officer,0,985
372,adonis,adonis,1,996
373,graid,graid,1,1042
374,grieve,process,0,1040
375,courthouse,courthouse,1,1073
376,food,danger,0,1010
377,lorenzo,lorenzo,1,879
378,revenge,revenge,1,870
379,bracelet,bracelet,1,998
380,ultrasound,ultrasound,1,1112
381,ronni,donna,0,1022
382,alonzo,alonzo,1,922
383,died,died,1,930
384,boots,boots,1,981
385,plane,plane,1,841
386,legate,legate,1,961
387,heristo,dreams,0,953
388,convent,convent,1,1050
389,faye,diana,0,974
390,seniors,graduated,0,901
391,earth,space,0,980
392,again,today,0,894
393,jock,jock,1,964
394,animal,animal,1,1035
395,trial,trial,1,905
396,kirov,california,0,1040
397,griff,griff,1,1050
398,lucas,lucas,1,908
399,tears,,0,1099
400,maura,gilda,0,1080
401,clumsy,clumsy,1,1076
402,army,army,1,1032
403,major,major,1,912
404,coke,coke,1,1066
405,pretty,pretty,1,993
406,losers,losers,1,831
407,rupert,rupert,1,909
408,maximilian,maximilian,1,881
409,pen,pen,1,930
410,tessa,tessa,1,1053
411,smoke,smoke,1,969
412,peter,peter,1,891
413,library,library,1,1217
414,yours,yours,1,881
415,carolyn,peter,0,843
416,merge,merge,1,965
417,complicated,coming,0,1035
418,jake,tracey,0,1298
419,nice,not,0,1036
420,sarah,charlton,0,1086
421,percy,percy,1,836
422,ash,ash,1,1027
423,nick,nick,1,923
424,bookstore,bookstore,1,989
425,jacket,jacket,1,945
426,logan,logan,1,960
427,power,power,1,977
428,wake,wake,1,1007
429,fencing,fencing,1,884
430,collins,collins,1,1079
431,mine,his,0,887
432,targets,targets,1,978
433,label,label,1,977
434,mike,bean,0,917
435,sarah,sarah,1,939
436,novice,novice,1,869
437,kelly,sam,0,886
438,relaxed,relaxed,1,902
439,amanda,amanda,1,928
440,bagel,bagel,1,892
441,kennel,shelter,0,964
442,nisha,nisha,1,1018
443,wendy,wendy,1,899
444,ivana,ivana,1,1008
445,max,max,1,1065
446,mum,grannyweatherw,0,1128
447,trey,trey,1,878
448,drink,go,0,950
449,drown,drown,1,933
450,goner,goner,1,1009
451,shelf,shelf,1,1014
452,cow,cow,1,995
453,chimera,chimera,1,946
454,plain,plain,1,1051
455,esther,esther,1,871
456,shelter,rain,0,992
457,highway,highway,1,948
458,hixson,hixson,1,874
459,cellar,cellar,1,1045
460,crib,crib,1,1137
461,poindexter,poindexter,1,961
462,pegasus,pegasus,1,818
463,mike,mike,1,991
464,church,it,0,1034
465,duke,duke,1,1105
466,tzader,evalle,0,997
467,okay,okay,1,986
468,foreigner,foreigner,1,1038
469,terra,setzer,0,895
470,afraid,afraid,1,960
471,truck,truck,1,1028
472,thundercloud,bride,0,986
473,mairi,her,0,1146
474,change,change,1,925
475,megan,megan,1,1074
476,kasar,kasar,1,949
477,jeb,jeb,1,893
478,proposed,proposed,1,944
479,river,river,1,1064
480,starr,starr,1,937
481,justice,didn't,0,903
482,freddie,freddie,1,1000
483,carley,carley,1,1038
484,mallory,mallory,1,999
485,hallie,hallie,1,927
486,bare,empty,0,973
487,jeffrey,jeffrey,1,1169
488,legacy,legacy,1,1062
489,adrian,adrian,1,1034
490,gabby,gabby,1,893
491,fishing,fishing,1,1076
492,freedom,freedom,1,929
493,stream,stream,1,1031
494,screamed,screamed,1,980
495,saved,saved,1,932
496,names,options,0,863
497,mareth,mareth,1,989
498,tablet,tablet,1,989
499,melanie,her,0,999
500,roku,roku,1,1037
501,debbie,debbie,1,1006
502,possessed,possessed,1,961
503,breeze,catlett,0,1078
504,isabelle,cam,0,884
505,ruins,ruins,1,917
506,brooks,branch,0,924
507,serious,no,0,1040
508,styx,styx,1,893
509,village,village,1,961
510,genevieve,genevieve,1,898
511,empire,empire,1,963
512,piano,piano,1,866
513,lisa,myfather,0,842
514,isabel,isabel,1,900
515,nolan,nolan,1,1021
516,milt,brian,0,943
517,sacha,pip,0,898
518,zoe,zoe,1,888
519,patty,patty,1,962
520,vee,vee,1,985
521,tracy,tracy,1,904
522,lucas,lucas,1,935
523,either,take,0,882
524,special,very,0,904
525,lizzie,lizzie,1,885
526,wolf,giant,0,1021
527,rabbit,rabbit,1,1115
528,griffin,griffin,1,924
529,advertising,advertising,1,1039
530,gaent,gaent,1,1078
531,clue,clue,1,1077
532,echo,echo,1,850
533,game,game,1,955
534,ainsley,ainsley,1,963
535,stall,seat,0,976
536,sabrina,sabrina,1,877
537,antoine,antoine,1,972
538,nerissa,nerissa,1,943
539,ana,ana,1,857
540,vines,vines,1,1042
541,drew,drew,1,828
542,gregori,gregori,1,994
543,jessi,jessi,1,967
544,beautiful,alice,0,919
545,inn,inn,1,1017
546,legion,legion,1,1009
547,nicholas,logan,0,1051
548,lonely,lonely,1,845
549,lighthouse,lighthouse,1,1001
550,bobby,dad,0,1011
551,prophecy,prophecy,1,900
552,carley,susan,0,945
553,iona,iona,1,1022
554,magic,magic,1,1055
555,france,france,1,951
556,coffin,coffin,1,1121
557,generous,generous,1,897
558,riley,riley,1,957
559,ananda,ananda,1,960
560,lot,parkinglot,0,925
561,ring,ring,1,998
562,holt,holt,1,925
563,dumpster,dumpster,1,1137
564,russia,russia,1,903
565,lease,lease,1,963
566,ty,ty,1,909
567,minnesota,minnesota,1,923
568,dimitri,dimitri,1,1107
569,battle,war,0,889
570,jez,jez,1,950
571,amber,amber,1,1205
572,omaha,omaha,1,880
573,michele,michele,1,1108
574,morning,ahuman,0,955
575,andromeda,andromeda,1,909
576,too,too,1,1056
577,nick,unclenick,0,968
578,smoking,smoking,1,951
579,trish,him,0,1058
580,adsen,adsen,1,978
581,gallery,gallery,1,1183
582,bars,energy,0,1035
583,secretary,queen,0,1081
584,demoux,demoux,1,896
585,bellhop,bellhop,1,1011
586,bridge,bridge,1,992
587,crystals,crystals,1,992
588,nero,nero,1,874
589,pattern,pattern,1,1005
590,camille,camille,1,903
591,can,door,0,940
592,south,south,1,1162
593,boring,trent,0,905
594,godric,godric,1,885
595,emperor,mathematics,0,927
596,holly,holly,1,870
597,ellie,him,0,986
598,watched,watched,1,903
599,dani,annabelle,0,884
600,sleeps,suffers,0,1042
601,emma,david,0,952
602,bella,bella,1,1013
603,laurence,laurence,1,955
604,captain,captain,1,1002
605,willow,willow,1,1026
606,prentice,prentice,1,1015
607,guest,guest,1,1041
608,nurse,nurse,1,958
609,nick,me,0,1044
610,morons,strangers,0,956
611,mckenzie,mckenzie,1,935
