#,Gold,Prediction,Correct,PromptLength
1,signs,angels,0,967
2,shane,thanks,0,1037
3,insurance,insurance,1,1128
4,helen,missmabel,0,873
5,chains,chains,1,1070
6,hastin,hastin,1,1023
7,queen,queen,1,1025
8,aidan,aidan,1,1006
9,gabriel,flannery,0,918
10,coffee,shade,0,932
11,fights,fights,1,970
12,story,opinion,0,958
13,border,border,1,907
14,introductions,alarm,0,976
15,babies,mother,0,1011
16,together,jaeden,0,1023
17,robot,robot,1,1177
18,chester,chester,1,1023
19,book,book,1,978
20,izzy,thebed,0,1021
21,track,track,1,1072
22,sarah,theguests,0,994
23,emergencies,disappointment,0,1063
24,liz,liz,1,1126
25,bob,bob,1,1017
26,hercules,hercules,1,1121
27,jen,jen,1,968
28,piano,menu,0,954
29,stove,beans,0,1047
30,duke,duke,1,925
31,sara,joshua,0,882
32,kim,kim,1,999
33,showers,showers,1,994
34,jeremy,honey,0,1106
35,speakers,speakers,1,1097
36,portal,portal,1,981
37,syracuse,syracuse,1,846
38,stopped,stopped,1,940
39,lilly,lilly,1,944
40,list,plan,0,989
41,joran,joran,1,1047
42,ares,gregor,0,1010
43,eat,eat,1,988
44,zach,helen,0,885
45,squirm,squirm,1,934
46,company,eachother,0,992
47,hunter,hunter,1,987
48,invited,invited,1,920
49,mum,mum,1,1009
50,platform,platform,1,1142
51,ball,room,0,1064
52,test,is,0,992
53,nothing,nothing,1,1304
54,hatch,hatch,1,994
55,refugee,refugee,1,1025
56,gregory,gardener,0,1014
57,too,too,1,932
58,chloe,addie,0,1574
59,daniel,daniel,1,1039
60,leo,daphne,0,1013
61,beth,beth,1,975
62,cassie,cassie,1,948
63,cheyenne,cheyenne,1,964
64,wagon,wagon,1,1025
65,bananas,bananas,1,1133
66,cooper,deuce,0,1081
67,scratches,scratches,1,906
68,sing,have,0,836
69,camera,photo,0,977
70,invasion,invasion,1,1097
71,nadia,nadia,1,1173
72,tube,tube,1,1022
73,leanne,leanne,1,960
74,lonely,married,0,948
75,camille,me,0,985
76,sled,sled,1,941
77,daniel,daniel,1,896
78,towel,towel,1,1087
79,bee,bee,1,912
80,brian,uncle,0,967
81,chase,exactly,0,970
82,shane,shane,1,1045
83,hazard,luxa,0,969
84,appropriate,her,0,1097
85,prophetic,too,0,955
86,drugs,drugs,1,915
87,close,inside,0,1057
88,peggy,peggy,1,1012
89,cole,cole,1,1114
90,poor,poor,1,1251
91,rackenfauz,professor,0,867
92,now,human,0,1050
93,cooking,cooking,1,1105
94,kelly,i'm,0,1128
95,menu,menu,1,1053
96,carlos,carlos,1,923
97,alice,alice,1,933
98,ethan,ethan,1,1008
99,jeep,jeep,1,884
100,carlos,carlos,1,962
101,admiral,admiral,1,1164
102,shawn,shawn,1,975
103,drown,drown,1,917
104,guards,guards,1,923
105,gabriel,flannery,0,932
106,again,again,1,929
107,vivienne,vivienne,1,1031
108,statement,statement,1,1208
109,garden,garden,1,1014
110,wonderful,tonight,0,1290
111,genevieve,genevieve,1,980
112,guy,guy,1,1071
113,karou,karou,1,1165
114,bleachers,bleachers,1,938
115,cats,cats,1,998
116,moscow,moscow,1,1025
117,amber,amber,1,977
118,greg,greg,1,1038
119,gabriel,gabriel,1,1174
120,wardrobe,mountain,0,1029
121,sarah,robert,0,976
122,bing,bing,1,1010
123,evra,evra,1,962
124,convoy,convoy,1,903
125,tiny,tiny,1,1119
126,lanterns,lanterns,1,1116
127,sycko,sycko,1,982
128,plays,work,0,966
129,bracelet,bracelet,1,1006
130,weak,weak,1,847
131,money,adivorce,0,1075
132,jt,jt,1,1085
133,helen,helen,1,932
134,attracted,attracted,1,961
135,sabrina,sabrina,1,979
136,tomb,tomb,1,1100
137,poisons,poisons,1,981
138,thanks,thankyou,0,908
139,wyatt,wyatt,1,1096
140,zhang,zhang,1,977
141,instrument,instrument,1,1241
142,hannah,ava,0,1030
143,dogs,dogs,1,985
144,claire,claire,1,993
145,forget,regret,0,1014
146,vain,vain,1,929
147,candle,candle,1,925
148,francis,mother,0,1041
149,jared,jared,1,1072
150,betsy,betsy,1,937
151,gregory,basinger,0,1037
152,marquis,marquis,1,1021
153,curse,curse,1,961
154,matter,matter,1,951
155,ares,ares,1,957
156,charles,varney,0,1195
157,garden,office,0,1057
158,sacha,sacha,1,1150
159,phone,phone,1,893
160,bob,bob,1,1033
161,drake,drake,1,1136
162,accent,accent,1,1096
163,ernie,purged,0,918
164,visor,reins,0,928
165,anne,anne,1,989
166,diana,diana,1,996
167,axel,axel,1,1083
168,wolfe,kir,0,916
169,queue,line,0,954
170,vampires,ones,0,1099
171,protecting,protecting,1,1147
172,first,good,0,877
173,eloisa,jacqueline,0,982
174,mortgage,mortgage,1,1012
175,jay,hospital,0,1032
176,galaxy,galaxy,1,1272
177,jones,jones,1,848
178,werewolves,werewolves,1,933
179,twins,twins,1,1332
180,texting,texting,1,942
181,buliwyf,buliwy,0,1037
182,hamnet,luxa,0,940
183,human,chosen,0,993
184,jesse,jesse,1,822
185,savior,savior,1,1066
186,too,duped,0,1058
187,cadence,cadence,1,1146
188,casimir,casimir,1,1030
189,missing,setting,0,1009
190,josh,josh,1,865
191,spotlight,public,0,965
192,yadira,yadira,1,1011
193,roderick,roderick,1,1000
194,alley,alley,1,980
195,nephews,nephews,1,1079
196,jenny,jenny,1,925
197,serious,serious,1,1030
198,jules,jules,1,1165
199,monson,monson,1,1040
200,lucien,lucien,1,1032
201,constables,constables,1,1045
202,workers,workers,1,1039
203,leonardo,leonardo,1,960
204,mask,mask,1,1084
205,ewan,mairin,0,1043
206,aloud,julia,0,992
207,roland,roland,1,1098
208,chip,chip,1,998
209,order,leave,0,987
210,raych,woman,0,941
211,smoke,trees,0,861
212,dizzy,him,0,1035
213,stefan,stefan,1,1010
214,menu,menu,1,1014
215,squirrel,squirrel,1,957
216,roku,roku,1,1075
217,plants,plants,1,877
218,baby,husband,0,1045
219,vikus,vikus,1,879
220,alyssa,alyssa,1,964
221,cole,cole,1,909
222,ship,ship,1,1002
223,survived,was,0,1039
224,driver,driver,1,1035
225,ebens,ebens,1,919
226,heights,heights,1,1023
227,billy,billy,1,1039
228,toothbrush,toothbrush,1,893
229,jade,jade,1,872
230,council,council,1,890
231,collet,collet,1,1039
232,years,schoolstairs,0,1109
233,brennan,brennan,1,970
234,hudson,her,0,975
235,anyway,aislin,0,868
236,lucivar,lucivar,1,922
237,rhoda,rhoda,1,976
238,rough,rough,1,955
239,damon,caleb,0,1081
240,mind,orchard,0,920
241,charles,charles,1,1112
242,dutiful,happy,0,1030
243,journal,journal,1,1003
244,shirley,shirley,1,953
245,tristan,kizira,0,938
246,destiny,destiny,1,1010
247,issa,issa,1,1101
248,rose,rose,1,925
249,mace,sword,0,919
250,bunker,bunker,1,1111
251,dragon,dragon,1,984
252,hardy,garrett,0,1001
253,dragon,dragon,1,853
254,bonnie,bonnie,1,967
255,jia,jia,1,1102
256,doll,doll,1,1052
257,cassie,cassie,1,939
258,jackie,helen,0,1104
259,kiss,kiss,1,956
260,hide,go,0,1083
261,dreaming,dreaming,1,1032
262,bake,bake,1,914
263,searched,searched,1,942
264,marius,marius,1,1121
265,alone,alone,1,937
266,zoe,zoe,1,984
267,pile,pile,1,920
268,hailey,cami,0,959
269,nell,mary,0,982
270,townhouse,townhouse,1,1009
271,fabian,elisabeth,0,1119
272,protective,protective,1,877
273,cap,e,0,939
274,sender,sender,1,1039
275,puppy,puppy,1,1032
276,swim,swim,1,1026
277,vaxili,zabrazal,0,1067
278,books,books,1,1115
279,drown,drown,1,1008
280,them,us,0,1110
281,mitzy,itdoesn,0,1048
282,city,city,1,1038
283,arturo,arturo,1,942
284,street,street,1,968
285,rings,rings,1,1100
286,clones,clones,1,974
287,atalai,atalai,1,924
288,ethan,has,0,888
289,winkler,lissa,0,861
290,justin,justin,1,940
291,cahoots,on,0,964
292,messages,any,0,926
293,locker,locker,1,956
294,zane,zane,1,1004
295,aden,him,0,929
296,ronni,ronni,1,910
297,press,press,1,982
298,teacher,trystan,0,1096
299,kiyu,kiyu,1,1022
300,gladys,gladys,1,964
301,hot,hot,1,994
302,georgina,georgina,1,933
303,miracle,miracle,1,1100
304,atalai,atalai,1,1015
305,listing,listing,1,1316
306,vasquez,timms,0,973
307,lulu,lulu,1,1146
308,andre,andre,1,954
309,lighthouse,lighthouse,1,1057
310,foolish,foolish,1,1087
311,chris,anything,0,1196
312,alcander,alcander,1,1048
313,coin,coin,1,1067
314,coffee,your,0,865
315,lissa,lissa,1,946
316,julianna,drhend,0,932
317,ty,ty,1,937
318,earl,earl,1,938
319,marcie,marcie,1,899
320,graves,graves,1,1000
