#,Gold,Prediction,Correct,PromptLength
1,signs,signs,1,5453
2,shane,shane,1,5362
3,insurance,insurance,1,5664
4,helen,helen,1,5602
5,chains,chains,1,5639
6,hastin,basha,0,5470
7,queen,queen,1,5597
8,aidan,aidan,1,5623
9,gabriel,heather,0,5413
10,coffee,company,0,5617
11,fights,fights,1,5687
12,story,story,1,5566
13,border,border,1,5562
14,introductions,fear,0,5300
15,babies,motherhood,0,5372
16,together,jaeden,0,5631
17,robot,robot,1,5678
18,chester,chester,1,5456
19,book,nellie,0,5490
20,izzy,annie,0,5357
21,track,track,1,5696
22,sarah,tess,0,5434
23,emergencies,emergencies,1,5299
24,liz,liz,1,5228
25,bob,bob,1,5501
26,hercules,hercules,1,5877
27,jen,jen,1,5468
28,piano,piano,1,5483
29,stove,stove,1,5598
30,duke,duke,1,5609
31,sara,sara,1,5351
32,kim,kim,1,5380
33,showers,showers,1,5632
34,jeremy,jeremy,1,5775
35,speakers,speakers,1,5445
36,portal,portal,1,5540
37,syracuse,new,0,5202
38,stopped,stopped,1,6010
39,lilly,lilly,1,5821
40,list,problem,0,5249
41,joran,joran,1,5471
42,ares,ares,1,6267
43,eat,eat,1,5716
44,zach,zach,1,5578
45,squirm,suffer,0,5407
46,company,eachother,0,5335
47,hunter,hunter,1,5685
48,invited,invited,1,5088
49,mum,mum,1,5866
50,platform,platform,1,6199
51,ball,air,0,5519
52,test,test,1,5724
53,nothing,nothing,1,5534
54,hatch,chair,0,5595
55,refugee,refugee,1,5674
56,gregory,zach,0,6115
57,too,too,1,5681
58,chloe,addie,0,5789
59,daniel,daniel,1,5558
60,leo,leo,1,5793
61,beth,beth,1,5878
62,cassie,cassie,1,5356
63,cheyenne,cheyenne,1,5696
64,wagon,wagon,1,5549
65,bananas,bananas,1,5348
66,cooper,cooper,1,5303
67,scratches,scratches,1,6022
68,sing,sing,1,5388
69,camera,camera,1,5637
70,invasion,invasion,1,5952
71,nadia,nadia,1,6080
72,tube,tube,1,5686
73,leanne,leanne,1,5475
74,lonely,lonely,1,5717
75,camille,camille,1,5292
76,sled,sled,1,5603
77,daniel,daniel,1,6394
78,towel,towel,1,5702
79,bee,bee,1,5501
80,brian,brian,1,5845
81,chase,chase,1,5255
82,shane,shane,1,5400
83,hazard,hazard,1,5640
84,appropriate,appropriate,1,5955
85,prophetic,where,0,6305
86,drugs,drugs,1,5464
87,close,inside,0,5986
88,peggy,peggy,1,5366
89,cole,cole,1,5374
90,poor,poor,1,6453
91,rackenfauz,rackenf,0,5524
92,now,person,0,6163
93,cooking,process,0,5675
94,kelly,i,0,5828
95,menu,menu,1,5613
96,carlos,carlos,1,5260
97,alice,alice,1,5428
98,ethan,ethan,1,5578
99,jeep,jeep,1,5534
100,carlos,carlos,1,5253
101,admiral,admiral,1,5663
102,shawn,shawn,1,5395
103,drown,drown,1,5517
104,guards,guards,1,5537
105,gabriel,gabriel,1,5326
106,again,again,1,5572
107,vivienne,vivienne,1,5614
108,statement,statement,1,5843
109,garden,garden,1,5674
110,wonderful,tonight,0,6017
111,genevieve,genevieve,1,5405
112,guy,husband,0,5936
113,karou,karou,1,5886
114,bleachers,bleachers,1,5575
115,cats,cats,1,5530
116,moscow,moscow,1,5657
117,amber,amber,1,5631
118,greg,greg,1,6066
119,gabriel,gabriel,1,5418
120,wardrobe,wardrobe,1,5669
121,sarah,robert,0,5513
122,bing,bing,1,5215
123,evra,evra,1,5889
124,convoy,convoy,1,5504
125,tiny,tiny,1,5712
126,lanterns,lanterns,1,7024
127,sycko,sycko,1,6104
128,plays,plays,1,5481
129,bracelet,bracelet,1,5389
130,weak,weak,1,5501
131,money,money,1,5813
132,jt,jt,1,5395
133,helen,helen,1,5630
134,attracted,attracted,1,6649
135,sabrina,sabrina,1,5485
136,tomb,tomb,1,5607
137,poisons,poisons,1,5253
138,thanks,wanda,0,5478
139,wyatt,wyatt,1,5691
140,zhang,zhang,1,5641
141,instrument,instrument,1,5896
142,hannah,hannah,1,6069
143,dogs,dogs,1,5974
144,claire,john,0,5652
145,forget,regret,0,5591
146,vain,vain,1,5441
147,candle,candle,1,5579
148,francis,francis,1,5540
149,jared,jared,1,5683
150,betsy,betsy,1,5329
151,gregory,gregory,1,6198
152,marquis,marquis,1,5377
153,curse,curse,1,5636
154,matter,matter,1,5958
155,ares,ares,1,5735
156,charles,charles,1,5956
157,garden,garden,1,5763
158,sacha,sacha,1,5657
159,phone,phone,1,5480
160,bob,bob,1,5502
161,drake,drake,1,5446
